Year,Sampling Date,Plot,Replication,Cover Crop,Weed Species,Day of Year,Emergence Count,Cumulative Emergence,Percent Cumulative Emergence,Hydrothermal Time
2022,15-Apr-22,7,1,N,giant ragweed,105,0,0,0.001,29.68166667
2022,25-Apr-22,7,1,N,giant ragweed,115,0,0,0.001,57.58
2022,5-May-22,7,1,N,giant ragweed,125,37,37,46.25,96.76833333
2022,16-May-22,7,1,N,giant ragweed,136,26,63,78.75,211.1420833
2022,24-May-22,7,1,N,giant ragweed,144,12,75,93.75,264.375
2022,31-May-22,7,1,N,giant ragweed,151,3,78,97.5,301.2254167
2022,14-Jun-22,7,1,N,giant ragweed,165,2,80,100,322.3945833
2022,23-Jun-22,7,1,N,giant ragweed,174,0,80,100,322.3945833
2022,5-Jul-22,7,1,N,giant ragweed,186,0,80,100,349.37
2022,11-Jul-22,7,1,N,giant ragweed,192,0,80,100,397.21375
2022,25-Jul-22,7,1,N,giant ragweed,206,0,80,100,451.91625
2022,9-Aug-22,7,1,N,giant ragweed,221,0,80,100,509.8475
2022,26-Aug-22,7,1,N,giant ragweed,238,0,80,100,757.1566667
2022,16-Sep-22,7,1,N,giant ragweed,259,0,80,100,905.5770833
2022,15-Apr-22,8,2,N,giant ragweed,105,0,0,0.001,29.68166667
2022,25-Apr-22,8,2,N,giant ragweed,115,0,0,0.001,57.58
2022,5-May-22,8,2,N,giant ragweed,125,32,32,36.7816092,96.76833333
2022,16-May-22,8,2,N,giant ragweed,136,19,51,58.62068966,211.1420833
2022,24-May-22,8,2,N,giant ragweed,144,25,76,87.35632184,264.375
2022,31-May-22,8,2,N,giant ragweed,151,10,86,98.85057471,301.2254167
2022,14-Jun-22,8,2,N,giant ragweed,165,0,86,98.85057471,322.3945833
2022,23-Jun-22,8,2,N,giant ragweed,174,0,86,98.85057471,322.3945833
2022,5-Jul-22,8,2,N,giant ragweed,186,1,87,100,349.37
2022,11-Jul-22,8,2,N,giant ragweed,192,0,87,100,397.21375
2022,25-Jul-22,8,2,N,giant ragweed,206,0,87,100,451.91625
2022,9-Aug-22,8,2,N,giant ragweed,221,0,87,100,509.8475
2022,26-Aug-22,8,2,N,giant ragweed,238,0,87,100,757.1566667
2022,16-Sep-22,8,2,N,giant ragweed,259,0,87,100,905.5770833
2022,15-Apr-22,9,3,N,giant ragweed,105,0,0,0.001,29.68166667
2022,25-Apr-22,9,3,N,giant ragweed,115,0,0,0.001,57.58
2022,5-May-22,9,3,N,giant ragweed,125,13,13,26.53061224,96.76833333
2022,16-May-22,9,3,N,giant ragweed,136,13,26,53.06122449,211.1420833
2022,24-May-22,9,3,N,giant ragweed,144,19,45,91.83673469,264.375
2022,31-May-22,9,3,N,giant ragweed,151,3,48,97.95918367,301.2254167
2022,14-Jun-22,9,3,N,giant ragweed,165,1,49,100,322.3945833
2022,23-Jun-22,9,3,N,giant ragweed,174,0,49,100,322.3945833
2022,5-Jul-22,9,3,N,giant ragweed,186,0,49,100,349.37
2022,11-Jul-22,9,3,N,giant ragweed,192,0,49,100,397.21375
